date,state,unemployment
1977-03-01,Pennsylvania,8
1977-03-01,Rhode Island,8.6
1977-03-01,South Carolina,7.2
1977-03-01,South Dakota,3.7
1977-03-01,Tennessee,6.5
1977-03-01,Texas,5.7
1977-03-01,Utah,5.5
1977-03-01,Vermont,7.4
1977-03-01,Virginia,5.5
1977-03-01,Washington,9.2
1977-03-01,West Virginia,7.1
1977-03-01,Wisconsin,5.3
1977-03-01,Wyoming,3.6
1977-04-01,Alabama,7.5
1977-04-01,Alaska,9.7
1977-04-01,Arizona,9
1977-04-01,Arkansas,6.6
1977-04-01,California,8.7
1977-04-01,Colorado,6.5
1977-04-01,Connecticut,7.5
1977-04-01,District of Columbia,8.7
1977-04-01,Delaware,8.7
1977-04-01,Florida,8.7
1977-04-01,Georgia,7.4
1977-04-01,Hawaii,7.9
1977-04-01,Idaho,5.9
1977-04-01,Illinois,6
1977-04-01,Indiana,5.7
1977-04-01,Iowa,4
1977-04-01,Kansas,4
1977-04-01,Kentucky,4.9
1977-04-01,Louisiana,6.7
1977-04-01,Maine,8.9
1977-04-01,Maryland,6.3
1977-04-01,Massachusetts,8.3
1977-04-01,Michigan,8.4
1977-04-01,Minnesota,5.7
1977-04-01,Mississippi,7.2
1977-04-01,Missouri,6.1
1977-04-01,Montana,6
1977-04-01,Nebraska,3.2
1977-04-01,Nevada,7.6
1977-04-01,New Hampshire,6.1
1977-04-01,New Jersey,9.9
1977-04-01,New Mexico,8.3
1977-04-01,New York,9.6
1977-04-01,North Carolina,6.2
1977-04-01,North Dakota,4.5
1977-04-01,Ohio,6.8
1977-04-01,Oklahoma,5.2
1977-04-01,Oregon,8.2
1977-04-01,Pennsylvania,7.9
1977-04-01,Rhode Island,8.5
1977-04-01,South Carolina,7.1
1977-04-01,South Dakota,3.6
1977-04-01,Tennessee,6.5
1977-04-01,Texas,5.5
1977-04-01,Utah,5.4
1977-04-01,Vermont,7.3
1977-04-01,Virginia,5.5
1977-04-01,Washington,9.1
1977-04-01,West Virginia,7
1977-04-01,Wisconsin,5.2
1977-04-01,Wyoming,3.5
1977-05-01,Alabama,7.5
1977-05-01,Alaska,9.9
1977-05-01,Arizona,8.8
1977-05-01,Arkansas,6.5
1977-05-01,California,8.6
1977-05-01,Colorado,6.4
1977-05-01,Connecticut,7.2
1977-05-01,District of Columbia,8.7
1977-05-01,Delaware,8.4
1977-05-01,Florida,8.6
1977-05-01,Georgia,7.1
1977-05-01,Hawaii,7.6
1977-05-01,Idaho,6
1977-05-01,Illinois,6.1
1977-05-01,Indiana,5.7
1977-05-01,Iowa,4
1977-05-01,Kansas,4
1977-05-01,Kentucky,4.8
1977-05-01,Louisiana,6.7
1977-05-01,Maine,8.7
1977-05-01,Maryland,6.2
1977-05-01,Massachusetts,8.1
1977-05-01,Michigan,8.3
1977-05-01,Minnesota,5.5
1977-05-01,Mississippi,7.3
1977-05-01,Missouri,6.1
1977-05-01,Montana,6.1
1977-05-01,Nebraska,3.2
1977-05-01,Nevada,7.3
1977-05-01,New Hampshire,5.9
1977-05-01,New Jersey,9.6
1977-05-01,New Mexico,8.1
1977-05-01,New York,9.3
1977-05-01,North Carolina,6
1977-05-01,North Dakota,4.5
1977-05-01,Ohio,6.6
1977-05-01,Oklahoma,5.1
1977-05-01,Oregon,7.8
1977-05-01,Pennsylvania,7.8
1977-05-01,Rhode Island,8.3
1977-05-01,South Carolina,7
1977-05-01,South Dakota,3.5
